start,end,hour_count
2023-01-16T21:02:52.000Z,2023-01-16T22:00:00.000Z,13740
2023-01-16T22:00:00.000Z,2023-01-16T23:00:00.000Z,15493
2023-01-16T23:00:00.000Z,2023-01-17T00:00:00.000Z,14827
2023-01-17T00:00:00.000Z,2023-01-17T01:00:00.000Z,14833
2023-01-17T01:00:00.000Z,2023-01-17T02:00:00.000Z,14368
2023-01-17T02:00:00.000Z,2023-01-17T03:00:00.000Z,15327
2023-01-17T03:00:00.000Z,2023-01-17T04:00:00.000Z,14455
2023-01-17T04:00:00.000Z,2023-01-17T05:00:00.000Z,14184
2023-01-17T05:00:00.000Z,2023-01-17T06:00:00.000Z,13384
2023-01-17T06:00:00.000Z,2023-01-17T07:00:00.000Z,12207
2023-01-17T07:00:00.000Z,2023-01-17T08:00:00.000Z,13125
2023-01-17T08:00:00.000Z,2023-01-17T09:00:00.000Z,16472
2023-01-17T09:00:00.000Z,2023-01-17T10:00:00.000Z,13199
2023-01-17T10:00:00.000Z,2023-01-17T11:00:00.000Z,17477
2023-01-17T11:00:00.000Z,2023-01-17T12:00:00.000Z,17618
2023-01-17T12:00:00.000Z,2023-01-17T13:00:00.000Z,16880
2023-01-17T13:00:00.000Z,2023-01-17T14:00:00.000Z,16235
2023-01-17T14:00:00.000Z,2023-01-17T15:00:00.000Z,17461
2023-01-17T15:00:00.000Z,2023-01-17T16:00:00.000Z,17800
2023-01-17T16:00:00.000Z,2023-01-17T17:00:00.000Z,17000
2023-01-17T17:00:00.000Z,2023-01-17T18:00:00.000Z,16017
2023-01-17T18:00:00.000Z,2023-01-17T19:00:00.000Z,14376
2023-01-17T19:00:00.000Z,2023-01-17T20:00:00.000Z,13224
2023-01-17T20:00:00.000Z,2023-01-17T21:00:00.000Z,11637
2023-01-17T21:00:00.000Z,2023-01-17T22:00:00.000Z,10806
2023-01-17T22:00:00.000Z,2023-01-17T23:00:00.000Z,10738
2023-01-17T23:00:00.000Z,2023-01-18T00:00:00.000Z,10524
2023-01-18T00:00:00.000Z,2023-01-18T01:00:00.000Z,10298
2023-01-18T01:00:00.000Z,2023-01-18T02:00:00.000Z,10795
2023-01-18T02:00:00.000Z,2023-01-18T03:00:00.000Z,10941
2023-01-18T03:00:00.000Z,2023-01-18T04:00:00.000Z,10695
2023-01-18T04:00:00.000Z,2023-01-18T05:00:00.000Z,12492
2023-01-18T05:00:00.000Z,2023-01-18T06:00:00.000Z,23874
2023-01-18T06:00:00.000Z,2023-01-18T07:00:00.000Z,24728
2023-01-18T07:00:00.000Z,2023-01-18T08:00:00.000Z,17214
2023-01-18T08:00:00.000Z,2023-01-18T09:00:00.000Z,15879
2023-01-18T09:00:00.000Z,2023-01-18T10:00:00.000Z,14556
2023-01-18T10:00:00.000Z,2023-01-18T11:00:00.000Z,14293
2023-01-18T11:00:00.000Z,2023-01-18T12:00:00.000Z,16663
2023-01-18T12:00:00.000Z,2023-01-18T13:00:00.000Z,22988
2023-01-18T13:00:00.000Z,2023-01-18T14:00:00.000Z,24789
2023-01-18T14:00:00.000Z,2023-01-18T15:00:00.000Z,21413
2023-01-18T15:00:00.000Z,2023-01-18T16:00:00.000Z,19801
2023-01-18T16:00:00.000Z,2023-01-18T17:00:00.000Z,16429
2023-01-18T17:00:00.000Z,2023-01-18T18:00:00.000Z,17746
2023-01-18T18:00:00.000Z,2023-01-18T19:00:00.000Z,16111
2023-01-18T19:00:00.000Z,2023-01-18T20:00:00.000Z,16509
2023-01-18T20:00:00.000Z,2023-01-18T21:00:00.000Z,12837
2023-01-18T21:00:00.000Z,2023-01-18T22:00:00.000Z,12750
2023-01-18T22:00:00.000Z,2023-01-18T23:00:00.000Z,13686
2023-01-18T23:00:00.000Z,2023-01-19T00:00:00.000Z,13264
2023-01-19T00:00:00.000Z,2023-01-19T01:00:00.000Z,13607
2023-01-19T01:00:00.000Z,2023-01-19T02:00:00.000Z,13194
2023-01-19T02:00:00.000Z,2023-01-19T03:00:00.000Z,14342
2023-01-19T03:00:00.000Z,2023-01-19T04:00:00.000Z,15834
2023-01-19T04:00:00.000Z,2023-01-19T05:00:00.000Z,14766
2023-01-19T05:00:00.000Z,2023-01-19T06:00:00.000Z,14744
2023-01-19T06:00:00.000Z,2023-01-19T07:00:00.000Z,14709
2023-01-19T07:00:00.000Z,2023-01-19T08:00:00.000Z,15335
2023-01-19T08:00:00.000Z,2023-01-19T09:00:00.000Z,15305
2023-01-19T09:00:00.000Z,2023-01-19T10:00:00.000Z,14771
2023-01-19T10:00:00.000Z,2023-01-19T11:00:00.000Z,15669
2023-01-19T11:00:00.000Z,2023-01-19T12:00:00.000Z,15809
2023-01-19T12:00:00.000Z,2023-01-19T13:00:00.000Z,16714
2023-01-19T13:00:00.000Z,2023-01-19T14:00:00.000Z,17942
2023-01-19T14:00:00.000Z,2023-01-19T15:00:00.000Z,23479
2023-01-19T15:00:00.000Z,2023-01-19T16:00:00.000Z,19753
2023-01-19T16:00:00.000Z,2023-01-19T17:00:00.000Z,19041
2023-01-19T17:00:00.000Z,2023-01-19T18:00:00.000Z,15838
2023-01-19T18:00:00.000Z,2023-01-19T19:00:00.000Z,13906
2023-01-19T19:00:00.000Z,2023-01-19T20:00:00.000Z,12525
2023-01-19T20:00:00.000Z,2023-01-19T21:00:00.000Z,11420
2023-01-19T21:00:00.000Z,2023-01-19T22:00:00.000Z,10763
2023-01-19T22:00:00.000Z,2023-01-19T23:00:00.000Z,11264
2023-01-19T23:00:00.000Z,2023-01-20T00:00:00.000Z,11429
2023-01-20T00:00:00.000Z,2023-01-20T01:00:00.000Z,12138
2023-01-20T01:00:00.000Z,2023-01-20T02:00:00.000Z,12001
2023-01-20T02:00:00.000Z,2023-01-20T03:00:00.000Z,12740
2023-01-20T03:00:00.000Z,2023-01-20T04:00:00.000Z,13583
2023-01-20T04:00:00.000Z,2023-01-20T05:00:00.000Z,11819
2023-01-20T05:00:00.000Z,2023-01-20T06:00:00.000Z,10795
2023-01-20T06:00:00.000Z,2023-01-20T07:00:00.000Z,15940
2023-01-20T07:00:00.000Z,2023-01-20T08:00:00.000Z,13320
2023-01-20T08:00:00.000Z,2023-01-20T09:00:00.000Z,13478
2023-01-20T09:00:00.000Z,2023-01-20T10:00:00.000Z,13824
2023-01-20T10:00:00.000Z,2023-01-20T11:00:00.000Z,13349
2023-01-20T11:00:00.000Z,2023-01-20T12:00:00.000Z,15528
2023-01-20T12:00:00.000Z,2023-01-20T13:00:00.000Z,15982
2023-01-20T13:00:00.000Z,2023-01-20T14:00:00.000Z,15563
2023-01-20T14:00:00.000Z,2023-01-20T15:00:00.000Z,22354
2023-01-20T15:00:00.000Z,2023-01-20T16:00:00.000Z,20065
2023-01-20T16:00:00.000Z,2023-01-20T17:00:00.000Z,18140
2023-01-20T17:00:00.000Z,2023-01-20T18:00:00.000Z,19769
2023-01-20T18:00:00.000Z,2023-01-20T19:00:00.000Z,30349
2023-01-20T19:00:00.000Z,2023-01-20T20:00:00.000Z,21778
2023-01-20T20:00:00.000Z,2023-01-20T21:00:00.000Z,17111
2023-01-20T21:00:00.000Z,2023-01-20T22:00:00.000Z,15745
2023-01-20T22:00:00.000Z,2023-01-20T23:00:00.000Z,16828
2023-01-20T23:00:00.000Z,2023-01-21T00:00:00.000Z,16697
2023-01-21T00:00:00.000Z,2023-01-21T01:00:00.000Z,16338
2023-01-21T01:00:00.000Z,2023-01-21T02:00:00.000Z,14730
2023-01-21T02:00:00.000Z,2023-01-21T03:00:00.000Z,13740
2023-01-21T03:00:00.000Z,2023-01-21T04:00:00.000Z,13082
2023-01-21T04:00:00.000Z,2023-01-21T05:00:00.000Z,14360
2023-01-21T05:00:00.000Z,2023-01-21T06:00:00.000Z,12839
2023-01-21T06:00:00.000Z,2023-01-21T07:00:00.000Z,12041
2023-01-21T07:00:00.000Z,2023-01-21T08:00:00.000Z,11158
2023-01-21T08:00:00.000Z,2023-01-21T09:00:00.000Z,10810
2023-01-21T09:00:00.000Z,2023-01-21T10:00:00.000Z,11578
2023-01-21T10:00:00.000Z,2023-01-21T11:00:00.000Z,13765
2023-01-21T11:00:00.000Z,2023-01-21T12:00:00.000Z,13332
2023-01-21T12:00:00.000Z,2023-01-21T13:00:00.000Z,13592
2023-01-21T13:00:00.000Z,2023-01-21T14:00:00.000Z,15344
2023-01-21T14:00:00.000Z,2023-01-21T15:00:00.000Z,14452
2023-01-21T15:00:00.000Z,2023-01-21T16:00:00.000Z,14457
2023-01-21T16:00:00.000Z,2023-01-21T17:00:00.000Z,13659
2023-01-21T17:00:00.000Z,2023-01-21T18:00:00.000Z,13961
2023-01-21T18:00:00.000Z,2023-01-21T19:00:00.000Z,11940
2023-01-21T19:00:00.000Z,2023-01-21T20:00:00.000Z,10163
2023-01-21T20:00:00.000Z,2023-01-21T21:00:00.000Z,9529
2023-01-21T21:00:00.000Z,2023-01-21T22:00:00.000Z,8900
2023-01-21T22:00:00.000Z,2023-01-21T23:00:00.000Z,8376
2023-01-21T23:00:00.000Z,2023-01-22T00:00:00.000Z,8579
2023-01-22T00:00:00.000Z,2023-01-22T01:00:00.000Z,8189
2023-01-22T01:00:00.000Z,2023-01-22T02:00:00.000Z,7290
2023-01-22T02:00:00.000Z,2023-01-22T03:00:00.000Z,8656
2023-01-22T03:00:00.000Z,2023-01-22T04:00:00.000Z,8834
2023-01-22T04:00:00.000Z,2023-01-22T05:00:00.000Z,9433
2023-01-22T05:00:00.000Z,2023-01-22T06:00:00.000Z,8713
2023-01-22T06:00:00.000Z,2023-01-22T07:00:00.000Z,9683
2023-01-22T07:00:00.000Z,2023-01-22T08:00:00.000Z,8852
2023-01-22T08:00:00.000Z,2023-01-22T09:00:00.000Z,9316
2023-01-22T09:00:00.000Z,2023-01-22T10:00:00.000Z,9651
2023-01-22T10:00:00.000Z,2023-01-22T11:00:00.000Z,10546
2023-01-22T11:00:00.000Z,2023-01-22T12:00:00.000Z,12003
2023-01-22T12:00:00.000Z,2023-01-22T13:00:00.000Z,13468
2023-01-22T13:00:00.000Z,2023-01-22T14:00:00.000Z,12956
2023-01-22T14:00:00.000Z,2023-01-22T15:00:00.000Z,13137
2023-01-22T15:00:00.000Z,2023-01-22T16:00:00.000Z,13840
2023-01-22T16:00:00.000Z,2023-01-22T17:00:00.000Z,13977
2023-01-22T17:00:00.000Z,2023-01-22T18:00:00.000Z,12369
2023-01-22T18:00:00.000Z,2023-01-22T19:00:00.000Z,11110
2023-01-22T19:00:00.000Z,2023-01-22T20:00:00.000Z,10505
2023-01-22T20:00:00.000Z,2023-01-22T21:00:00.000Z,9358
2023-01-22T21:00:00.000Z,2023-01-22T22:00:00.000Z,10866
2023-01-22T22:00:00.000Z,2023-01-22T23:00:00.000Z,11416
2023-01-22T23:00:00.000Z,2023-01-23T00:00:00.000Z,10586
2023-01-23T00:00:00.000Z,2023-01-23T01:00:00.000Z,10340
2023-01-23T01:00:00.000Z,2023-01-23T02:00:00.000Z,10105
2023-01-23T02:00:00.000Z,2023-01-23T03:00:00.000Z,10791
2023-01-23T03:00:00.000Z,2023-01-23T04:00:00.000Z,9925
2023-01-23T04:00:00.000Z,2023-01-23T05:00:00.000Z,10623
2023-01-23T05:00:00.000Z,2023-01-23T06:00:00.000Z,12502
2023-01-23T06:00:00.000Z,2023-01-23T07:00:00.000Z,12266
2023-01-23T07:00:00.000Z,2023-01-23T08:00:00.000Z,13385
2023-01-23T08:00:00.000Z,2023-01-23T09:00:00.000Z,15805
2023-01-23T09:00:00.000Z,2023-01-23T10:00:00.000Z,13453
2023-01-23T10:00:00.000Z,2023-01-23T11:00:00.000Z,13542
2023-01-23T11:00:00.000Z,2023-01-23T12:00:00.000Z,15606
2023-01-23T12:00:00.000Z,2023-01-23T13:00:00.000Z,15799
2023-01-23T13:00:00.000Z,2023-01-23T14:00:00.000Z,15309
2023-01-23T14:00:00.000Z,2023-01-23T15:00:00.000Z,19443
