start,end,hour_count
2023-01-16T21:03:02.000Z,2023-01-16T22:00:00.000Z,41509
2023-01-16T22:00:00.000Z,2023-01-16T23:00:00.000Z,35263
2023-01-16T23:00:00.000Z,2023-01-17T00:00:00.000Z,25185
2023-01-17T00:00:00.000Z,2023-01-17T01:00:00.000Z,17237
2023-01-17T01:00:00.000Z,2023-01-17T02:00:00.000Z,13828
2023-01-17T02:00:00.000Z,2023-01-17T03:00:00.000Z,13387
2023-01-17T03:00:00.000Z,2023-01-17T04:00:00.000Z,12547
2023-01-17T04:00:00.000Z,2023-01-17T05:00:00.000Z,14723
2023-01-17T05:00:00.000Z,2023-01-17T06:00:00.000Z,20246
2023-01-17T06:00:00.000Z,2023-01-17T07:00:00.000Z,28076
2023-01-17T07:00:00.000Z,2023-01-17T08:00:00.000Z,34893
2023-01-17T08:00:00.000Z,2023-01-17T09:00:00.000Z,38812
2023-01-17T09:00:00.000Z,2023-01-17T10:00:00.000Z,39981
2023-01-17T10:00:00.000Z,2023-01-17T11:00:00.000Z,39680
2023-01-17T11:00:00.000Z,2023-01-17T12:00:00.000Z,41838
2023-01-17T12:00:00.000Z,2023-01-17T13:00:00.000Z,42404
2023-01-17T13:00:00.000Z,2023-01-17T14:00:00.000Z,40501
2023-01-17T14:00:00.000Z,2023-01-17T15:00:00.000Z,41270
2023-01-17T15:00:00.000Z,2023-01-17T16:00:00.000Z,44436
2023-01-17T16:00:00.000Z,2023-01-17T17:00:00.000Z,43879
2023-01-17T17:00:00.000Z,2023-01-17T18:00:00.000Z,45201
2023-01-17T18:00:00.000Z,2023-01-17T19:00:00.000Z,44778
2023-01-17T19:00:00.000Z,2023-01-17T20:00:00.000Z,44463
2023-01-17T20:00:00.000Z,2023-01-17T21:00:00.000Z,43043
2023-01-17T21:00:00.000Z,2023-01-17T22:00:00.000Z,41478
2023-01-17T22:00:00.000Z,2023-01-17T23:00:00.000Z,33824
2023-01-17T23:00:00.000Z,2023-01-18T00:00:00.000Z,24669
2023-01-18T00:00:00.000Z,2023-01-18T01:00:00.000Z,18497
2023-01-18T01:00:00.000Z,2023-01-18T02:00:00.000Z,15079
2023-01-18T02:00:00.000Z,2023-01-18T03:00:00.000Z,12735
2023-01-18T03:00:00.000Z,2023-01-18T04:00:00.000Z,12556
2023-01-18T04:00:00.000Z,2023-01-18T05:00:00.000Z,14129
2023-01-18T05:00:00.000Z,2023-01-18T06:00:00.000Z,19959
2023-01-18T06:00:00.000Z,2023-01-18T07:00:00.000Z,27832
2023-01-18T07:00:00.000Z,2023-01-18T08:00:00.000Z,34911
2023-01-18T08:00:00.000Z,2023-01-18T09:00:00.000Z,37805
2023-01-18T09:00:00.000Z,2023-01-18T10:00:00.000Z,38659
2023-01-18T10:00:00.000Z,2023-01-18T11:00:00.000Z,38041
2023-01-18T11:00:00.000Z,2023-01-18T12:00:00.000Z,41550
2023-01-18T12:00:00.000Z,2023-01-18T13:00:00.000Z,41923
2023-01-18T13:00:00.000Z,2023-01-18T14:00:00.000Z,40859
2023-01-18T14:00:00.000Z,2023-01-18T15:00:00.000Z,41901
2023-01-18T15:00:00.000Z,2023-01-18T16:00:00.000Z,44129
2023-01-18T16:00:00.000Z,2023-01-18T17:00:00.000Z,44272
2023-01-18T17:00:00.000Z,2023-01-18T18:00:00.000Z,45115
2023-01-18T18:00:00.000Z,2023-01-18T19:00:00.000Z,46431
2023-01-18T19:00:00.000Z,2023-01-18T20:00:00.000Z,45142
2023-01-18T20:00:00.000Z,2023-01-18T21:00:00.000Z,45154
2023-01-18T21:00:00.000Z,2023-01-18T22:00:00.000Z,41769
2023-01-18T22:00:00.000Z,2023-01-18T23:00:00.000Z,35302
2023-01-18T23:00:00.000Z,2023-01-19T00:00:00.000Z,23986
