start,end,hour_count
2023-01-19T13:31:39.000Z,2023-01-19T14:00:00.000Z,8189
2023-01-19T14:00:00.000Z,2023-01-19T15:00:00.000Z,17001
2023-01-19T15:00:00.000Z,2023-01-19T16:00:00.000Z,17826
2023-01-19T16:00:00.000Z,2023-01-19T17:00:00.000Z,18413
2023-01-19T17:00:00.000Z,2023-01-19T18:00:00.000Z,25104
2023-01-19T18:00:00.000Z,2023-01-19T19:00:00.000Z,25048
2023-01-19T19:00:00.000Z,2023-01-19T20:00:00.000Z,33975
2023-01-19T20:00:00.000Z,2023-01-19T21:00:00.000Z,30580
2023-01-19T21:00:00.000Z,2023-01-19T22:00:00.000Z,27880
2023-01-19T22:00:00.000Z,2023-01-19T23:00:00.000Z,27702
2023-01-19T23:00:00.000Z,2023-01-20T00:00:00.000Z,25065
2023-01-20T00:00:00.000Z,2023-01-20T01:00:00.000Z,23281
2023-01-20T01:00:00.000Z,2023-01-20T02:00:00.000Z,20913
2023-01-20T02:00:00.000Z,2023-01-20T03:00:00.000Z,18559
2023-01-20T03:00:00.000Z,2023-01-20T04:00:00.000Z,17933
2023-01-20T04:00:00.000Z,2023-01-20T05:00:00.000Z,15493
2023-01-20T05:00:00.000Z,2023-01-20T06:00:00.000Z,13788
2023-01-20T06:00:00.000Z,2023-01-20T07:00:00.000Z,11977
2023-01-20T07:00:00.000Z,2023-01-20T08:00:00.000Z,11905
2023-01-20T08:00:00.000Z,2023-01-20T09:00:00.000Z,12478
2023-01-20T09:00:00.000Z,2023-01-20T10:00:00.000Z,12775
2023-01-20T10:00:00.000Z,2023-01-20T11:00:00.000Z,13004
2023-01-20T11:00:00.000Z,2023-01-20T12:00:00.000Z,15129
2023-01-20T12:00:00.000Z,2023-01-20T13:00:00.000Z,18112
2023-01-20T13:00:00.000Z,2023-01-20T14:00:00.000Z,22034
2023-01-20T14:00:00.000Z,2023-01-20T15:00:00.000Z,25136
2023-01-20T15:00:00.000Z,2023-01-20T16:00:00.000Z,25880
2023-01-20T16:00:00.000Z,2023-01-20T17:00:00.000Z,25136
2023-01-20T17:00:00.000Z,2023-01-20T18:00:00.000Z,23009
2023-01-20T18:00:00.000Z,2023-01-20T19:00:00.000Z,22468
2023-01-20T19:00:00.000Z,2023-01-20T20:00:00.000Z,20333
2023-01-20T20:00:00.000Z,2023-01-20T21:00:00.000Z,18028
2023-01-20T21:00:00.000Z,2023-01-20T22:00:00.000Z,18039
2023-01-20T22:00:00.000Z,2023-01-20T23:00:00.000Z,17991
2023-01-20T23:00:00.000Z,2023-01-21T00:00:00.000Z,15814
2023-01-21T00:00:00.000Z,2023-01-21T01:00:00.000Z,13717
2023-01-21T01:00:00.000Z,2023-01-21T02:00:00.000Z,11848
2023-01-21T02:00:00.000Z,2023-01-21T03:00:00.000Z,10663
2023-01-21T03:00:00.000Z,2023-01-21T04:00:00.000Z,9849
2023-01-21T04:00:00.000Z,2023-01-21T05:00:00.000Z,8611
2023-01-21T05:00:00.000Z,2023-01-21T06:00:00.000Z,8030
2023-01-21T06:00:00.000Z,2023-01-21T07:00:00.000Z,8407
2023-01-21T07:00:00.000Z,2023-01-21T08:00:00.000Z,9906
2023-01-21T08:00:00.000Z,2023-01-21T09:00:00.000Z,13510
2023-01-21T09:00:00.000Z,2023-01-21T10:00:00.000Z,16940
2023-01-21T10:00:00.000Z,2023-01-21T11:00:00.000Z,17480
2023-01-21T11:00:00.000Z,2023-01-21T12:00:00.000Z,17510
2023-01-21T12:00:00.000Z,2023-01-21T13:00:00.000Z,16863
2023-01-21T13:00:00.000Z,2023-01-21T14:00:00.000Z,18942
2023-01-21T14:00:00.000Z,2023-01-21T15:00:00.000Z,20932
2023-01-21T15:00:00.000Z,2023-01-21T16:00:00.000Z,20423
2023-01-21T16:00:00.000Z,2023-01-21T17:00:00.000Z,22591
2023-01-21T17:00:00.000Z,2023-01-21T18:00:00.000Z,23562
2023-01-21T18:00:00.000Z,2023-01-21T19:00:00.000Z,20506
2023-01-21T19:00:00.000Z,2023-01-21T20:00:00.000Z,18860
2023-01-21T20:00:00.000Z,2023-01-21T21:00:00.000Z,19994
