start,end,hour_count
2023-01-16T20:16:09.000Z,2023-01-16T21:00:00.000Z,7832
2023-01-16T21:00:00.000Z,2023-01-16T22:00:00.000Z,12361
2023-01-16T22:00:00.000Z,2023-01-16T23:00:00.000Z,12120
2023-01-16T23:00:00.000Z,2023-01-17T00:00:00.000Z,11307
2023-01-17T00:00:00.000Z,2023-01-17T01:00:00.000Z,9339
2023-01-17T01:00:00.000Z,2023-01-17T02:00:00.000Z,8712
2023-01-17T02:00:00.000Z,2023-01-17T03:00:00.000Z,9202
2023-01-17T03:00:00.000Z,2023-01-17T04:00:00.000Z,8085
2023-01-17T04:00:00.000Z,2023-01-17T05:00:00.000Z,6762
2023-01-17T05:00:00.000Z,2023-01-17T06:00:00.000Z,5445
2023-01-17T06:00:00.000Z,2023-01-17T07:00:00.000Z,4745
2023-01-17T07:00:00.000Z,2023-01-17T08:00:00.000Z,4413
2023-01-17T08:00:00.000Z,2023-01-17T09:00:00.000Z,3622
2023-01-17T09:00:00.000Z,2023-01-17T10:00:00.000Z,4005
2023-01-17T10:00:00.000Z,2023-01-17T11:00:00.000Z,4087
2023-01-17T11:00:00.000Z,2023-01-17T12:00:00.000Z,4567
2023-01-17T12:00:00.000Z,2023-01-17T13:00:00.000Z,5189
2023-01-17T13:00:00.000Z,2023-01-17T14:00:00.000Z,6985
2023-01-17T14:00:00.000Z,2023-01-17T15:00:00.000Z,7177
2023-01-17T15:00:00.000Z,2023-01-17T16:00:00.000Z,8308
2023-01-17T16:00:00.000Z,2023-01-17T17:00:00.000Z,7556
2023-01-17T17:00:00.000Z,2023-01-17T18:00:00.000Z,7585
2023-01-17T18:00:00.000Z,2023-01-17T19:00:00.000Z,7272
2023-01-17T19:00:00.000Z,2023-01-17T20:00:00.000Z,7141
2023-01-17T20:00:00.000Z,2023-01-17T21:00:00.000Z,6692
2023-01-17T21:00:00.000Z,2023-01-17T22:00:00.000Z,6649
2023-01-17T22:00:00.000Z,2023-01-17T23:00:00.000Z,6194
2023-01-17T23:00:00.000Z,2023-01-18T00:00:00.000Z,5628
2023-01-18T00:00:00.000Z,2023-01-18T01:00:00.000Z,4987
2023-01-18T01:00:00.000Z,2023-01-18T02:00:00.000Z,4977
2023-01-18T02:00:00.000Z,2023-01-18T03:00:00.000Z,4785
2023-01-18T03:00:00.000Z,2023-01-18T04:00:00.000Z,4294
2023-01-18T04:00:00.000Z,2023-01-18T05:00:00.000Z,3899
2023-01-18T05:00:00.000Z,2023-01-18T06:00:00.000Z,3560
2023-01-18T06:00:00.000Z,2023-01-18T07:00:00.000Z,3429
2023-01-18T07:00:00.000Z,2023-01-18T08:00:00.000Z,3349
2023-01-18T08:00:00.000Z,2023-01-18T09:00:00.000Z,3209
2023-01-18T09:00:00.000Z,2023-01-18T10:00:00.000Z,3027
2023-01-18T10:00:00.000Z,2023-01-18T11:00:00.000Z,2928
2023-01-18T11:00:00.000Z,2023-01-18T12:00:00.000Z,3218
2023-01-18T12:00:00.000Z,2023-01-18T13:00:00.000Z,3757
2023-01-18T13:00:00.000Z,2023-01-18T14:00:00.000Z,3911
