start,end,hour_count
2023-01-16T21:01:42.000Z,2023-01-16T22:00:00.000Z,12119
2023-01-16T22:00:00.000Z,2023-01-16T23:00:00.000Z,11988
2023-01-16T23:00:00.000Z,2023-01-17T00:00:00.000Z,11137
2023-01-17T00:00:00.000Z,2023-01-17T01:00:00.000Z,10868
2023-01-17T01:00:00.000Z,2023-01-17T02:00:00.000Z,11096
2023-01-17T02:00:00.000Z,2023-01-17T03:00:00.000Z,12107
2023-01-17T03:00:00.000Z,2023-01-17T04:00:00.000Z,12662
2023-01-17T04:00:00.000Z,2023-01-17T05:00:00.000Z,13704
2023-01-17T05:00:00.000Z,2023-01-17T06:00:00.000Z,12489
2023-01-17T06:00:00.000Z,2023-01-17T07:00:00.000Z,11384
2023-01-17T07:00:00.000Z,2023-01-17T08:00:00.000Z,12148
2023-01-17T08:00:00.000Z,2023-01-17T09:00:00.000Z,12612
2023-01-17T09:00:00.000Z,2023-01-17T10:00:00.000Z,11449
2023-01-17T10:00:00.000Z,2023-01-17T11:00:00.000Z,29775
2023-01-17T11:00:00.000Z,2023-01-17T12:00:00.000Z,19069
2023-01-17T12:00:00.000Z,2023-01-17T13:00:00.000Z,17925
2023-01-17T13:00:00.000Z,2023-01-17T14:00:00.000Z,18393
2023-01-17T14:00:00.000Z,2023-01-17T15:00:00.000Z,19213
2023-01-17T15:00:00.000Z,2023-01-17T16:00:00.000Z,19541
2023-01-17T16:00:00.000Z,2023-01-17T17:00:00.000Z,18936
2023-01-17T17:00:00.000Z,2023-01-17T18:00:00.000Z,17725
2023-01-17T18:00:00.000Z,2023-01-17T19:00:00.000Z,16025
2023-01-17T19:00:00.000Z,2023-01-17T20:00:00.000Z,15290
2023-01-17T20:00:00.000Z,2023-01-17T21:00:00.000Z,14671
2023-01-17T21:00:00.000Z,2023-01-17T22:00:00.000Z,13998
2023-01-17T22:00:00.000Z,2023-01-17T23:00:00.000Z,13531
2023-01-17T23:00:00.000Z,2023-01-18T00:00:00.000Z,13188
2023-01-18T00:00:00.000Z,2023-01-18T01:00:00.000Z,13404
2023-01-18T01:00:00.000Z,2023-01-18T02:00:00.000Z,14138
2023-01-18T02:00:00.000Z,2023-01-18T03:00:00.000Z,12703
2023-01-18T03:00:00.000Z,2023-01-18T04:00:00.000Z,12261
2023-01-18T04:00:00.000Z,2023-01-18T05:00:00.000Z,11220
2023-01-18T05:00:00.000Z,2023-01-18T06:00:00.000Z,10981
2023-01-18T06:00:00.000Z,2023-01-18T07:00:00.000Z,12119
2023-01-18T07:00:00.000Z,2023-01-18T08:00:00.000Z,11135
2023-01-18T08:00:00.000Z,2023-01-18T09:00:00.000Z,11024
2023-01-18T09:00:00.000Z,2023-01-18T10:00:00.000Z,11902
2023-01-18T10:00:00.000Z,2023-01-18T11:00:00.000Z,13137
2023-01-18T11:00:00.000Z,2023-01-18T12:00:00.000Z,12958
2023-01-18T12:00:00.000Z,2023-01-18T13:00:00.000Z,15455
2023-01-18T13:00:00.000Z,2023-01-18T14:00:00.000Z,17003
2023-01-18T14:00:00.000Z,2023-01-18T15:00:00.000Z,18729
2023-01-18T15:00:00.000Z,2023-01-18T16:00:00.000Z,17729
2023-01-18T16:00:00.000Z,2023-01-18T17:00:00.000Z,17395
2023-01-18T17:00:00.000Z,2023-01-18T18:00:00.000Z,16736
2023-01-18T18:00:00.000Z,2023-01-18T19:00:00.000Z,16925
2023-01-18T19:00:00.000Z,2023-01-18T20:00:00.000Z,14219
2023-01-18T20:00:00.000Z,2023-01-18T21:00:00.000Z,13132
2023-01-18T21:00:00.000Z,2023-01-18T22:00:00.000Z,12596
2023-01-18T22:00:00.000Z,2023-01-18T23:00:00.000Z,12738
2023-01-18T23:00:00.000Z,2023-01-19T00:00:00.000Z,11187
2023-01-19T00:00:00.000Z,2023-01-19T01:00:00.000Z,11244
2023-01-19T01:00:00.000Z,2023-01-19T02:00:00.000Z,10838
2023-01-19T02:00:00.000Z,2023-01-19T03:00:00.000Z,11488
2023-01-19T03:00:00.000Z,2023-01-19T04:00:00.000Z,11334
